"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"2040",2040,"Ninja Gaiden II","X360",1.15,8.2,2008
"2043",2043,"Tekken 6","PSP",1.15,8.2,2009
"2051",2051,"Super Street Fighter IV","PS3",1.15,9.3,2010
"2064",2064,"LEGO City Undercover","WiiU",1.14,7.5,2013
"2066",2066,"Punch-Out!!","Wii",1.14,8.7,2009
"2067",2067,"Resident Evil - Code: Veronica","DC",1.14,9.2,2000
"2075",2075,"Final Fantasy VII","PC",1.14,8.4,1998
"2088",2088,"Resident Evil Director's Cut","PS",1.13,8.3,1997
"2089",2089,"Total War: Rome II","PC",1.13,8,2013
"2104",2104,"Golden Sun: The Lost Age","GBA",1.12,8.3,2003
"2106",2106,"Pikmin 2","GC",1.12,9.1,2004
"2129",2129,"Fantasy Life","3DS",1.11,6.9,2014
"2132",2132,"The Legend of Zelda: Twilight Princess HD","WiiU",1.11,8.4,2016
"2140",2140,"Orcs Must Die!","PC",1.11,8.5,2011
"2148",2148,"Chrono Trigger","DS",1.1,9.2,2008
"2150",2150,"F-Zero X","N64",1.1,8.5,1998
"2155",2155,"Metroid Prime 2: Echoes","GC",1.1,9.2,2004
"2156",2156,"Ninja Gaiden Sigma","PS3",1.1,8.8,2007
"2159",2159,"StarCraft II: Heart of the Swarm","PC",1.1,8.9,2013
"2161",2161,"The Final Fantasy Legend","GB",1.1,6,1990
"2164",2164,"Warhammer 40,000: Space Marine","PC",1.1,7.7,2011
"2175",2175,"F.E.A.R. 3","PC",1.1,7.5,2011
"2199",2199,"To the Moon","PC",1.09,8.5,2011
"2212",2212,"Metroid Prime Hunters","DS",1.08,8.4,2006
"2256",2256,"Nintendo Labo: Toy-Con 01 Variety Kit","NS",1.06,7.7,2018
"2257",2257,"Wario Land: Shake It!","Wii",1.06,7.3,2008
"2281",2281,"Captain Toad: Treasure Tracker","NS",1.05,8.1,2018
"2283",2283,"F-Zero: Maximum Velocity","GBA",1.05,8.7,2001
"2284",2284,"Mario Superstar Baseball","GC",1.05,7.2,2005
"2291",2291,"Supreme Commander 2","PC",1.05,7.5,2010
"2303",2303,"Titan Quest","PC",1.04,7.6,2006
"2317",2317,"Hotline Miami 2: Wrong Number","PC",1.04,8.3,2015
"2324",2324,"Resident Evil VII: Biohazard","XOne",1.04,7.9,2017
"2338",2338,"Miitopia","3DS",1.03,6.6,2017
"2344",2344,"Serious Sam HD: The First Encounter","PC",1.03,6.9,2009
"2366",2366,"Braid","PC",1.01,8.8,2009
"2375",2375,"Mario & Luigi: Paper Jam","3DS",1.01,7.4,2016
"2376",2376,"Naruto Shippuden: Ultimate Ninja Storm 2","PS3",1.01,7.3,2010
"2384",2384,"Resident Evil 5","PC",1.01,8.9,2009
"2394",2394,"1701 A.D.","PC",1,7.7,2006
"2398",2398,"Devil May Cry 3: Dante's Awakening Special Edition","PS2",1,8.8,2006
"2399",2399,"Doom 3","PC",1,7,2004
"2400",2400,"Empire Earth","PC",1,8,2001
"2403",2403,"Final Fantasy Tactics: The War of the Lions","PSP",1,8.9,2007
"2405",2405,"Final Fantasy XII: Revenant Wings","DS",1,8.2,2007
"2411",2411,"Kingdom Hearts HD II.8 Final Chapter Prologue","PS4",1,7.6,2017
"2412",2412,"Knack","PS4",1,8.4,2013
"2413",2413,"Legend of Mana","PS",1,7.8,2000
"2416",2416,"MotorStorm: Pacific Rift","PS3",1,8,2008
"2418",2418,"Pokken Tournament","WiiU",1,7.6,2016
"2421",2421,"Sonic Adventure 2 Battle","GC",1,6.8,2002
"2423",2423,"Street Fighter Alpha 3","PS",1,8.4,1999
"2424",2424,"The Last of Us Remastered","PS4",1,9.5,2014
"2425",2425,"Tom Clancy's Ghost Recon Advanced Warfighter 2","X360",1,8.7,2007
"2426",2426,"Valkyria Chronicles","PS3",1,8.4,2008
"2427",2427,"Viva Pinata","X360",1,8.4,2006
"2543",2543,"Poker Night at the Inventory","PC",0.95,8,2010
"2547",2547,"Red Steel","Wii",0.95,5.9,2006
"2585",2585,"Sniper: Ghost Warrior","PC",0.93,5.4,2010
"2706",2706,"Metal Gear Solid V: Ground Zeroes","PC",0.89,8.5,2014
"2724",2724,"Duke Nukem Forever","PC",0.89,4.6,2011
"2800",2800,"Rise of Nations","PC",0.86,8.8,2003
"2812",2812,"Mafia III","PC",0.86,6.5,2016
"2886",2886,"Rayman Origins","Wii",0.83,9.5,2011
"2945",2945,"Empire: Total War","PC",0.81,8.9,2009
"2978",2978,"Tom Clancy's Ghost Recon Advanced Warfighter","X360",0.8,9.1,2006
"3011",3011,"Football Manager 2014","PC",0.79,8.4,2013
"3025",3025,"Red Faction: Armageddon","PC",0.79,7.3,2011
"3112",3112,"VVVVVV","PC",0.76,7.8,2010
"3169",3169,"Super Street Fighter IV","X360",0.75,9.2,2010
"3190",3190,"Baldur's Gate","PC",0.75,9.2,1998
"3203",3203,"The Evil Within","PC",0.74,5.5,2014
"3205",3205,"Super Street Fighter IV: Arcade Edition","PS3",0.74,8.1,2011
"3277",3277,"Yakuza 2","PS2",0.72,7.9,2008
"3305",3305,"Risen 2: Dark Waters","PC",0.71,6.6,2012
"3315",3315,"God of War: Origins Collection","PS3",0.71,8.6,2011
"3329",3329,"DEFCON: Everybody Dies","PC",0.71,8.2,2007
"3343",3343,"Resident Evil 4","PC",0.7,8,2007
"3350",3350,"Two Worlds II","PC",0.7,6.9,2011
"3440",3440,"SpaceChem","PC",0.68,9,2011
"3488",3488,"Resident Evil VII: Biohazard","PC",0.67,7.9,2017
"3600",3600,"BIT.TRIP RUNNER","PC",0.65,7,2011
"3634",3634,"Phantasy Star Portable","PSP",0.64,7.1,2009
"3645",3645,"Dungeon Siege III","PC",0.64,7.3,2011
"3655",3655,"Rock of Ages","PC",0.64,7,2011
"3685",3685,"Worldwide Soccer Manager 2006","PC",0.63,9,2005
"3695",3695,"Dead Rising 2","PC",0.63,7.7,2010
"3796",3796,"Machinarium","PC",0.61,8,2009
"3853",3853,"Phantasy Star Portable 2","PSP",0.6,7.4,2010
"3854",3854,"Shogun 2: Total War","PC",0.6,9,2011
"3974",3974,"Final Fantasy VIII","PC",0.58,8,2000
"4068",4068,"Anomaly: Warzone Earth","PC",0.57,7.9,2011
"4133",4133,"Darksiders II","PC",0.56,7.8,2012
"4137",4137,"Yakuza 4","PS3",0.56,7.7,2011
"4151",4151,"Defense Grid: The Awakening","PC",0.56,8,2008
"4171",4171,"Dungeons of Dredmor","PC",0.55,8,2011
"4206",4206,"Lara Croft and the Guardian of Light","PC",0.55,8.3,2010
"4210",4210,"Medieval II: Total War","PC",0.55,8.8,2006
"4211",4211,"Yakuza: Dead Souls","PS3",0.55,7,2012
"4295",4295,"NBA 2K18","PC",0.54,7,2017
"4487",4487,"Yakuza","PS2",0.51,7.5,2006
"4541",4541,"Resident Evil: Revelations","PC",0.5,7,2013
"4564",4564,"Gothic 3","PC",0.5,6.8,2006
"4567",4567,"Yakuza 3","PS3",0.5,7.9,2010
"4710",4710,"Bionic Commando","PS3",0.48,7,2009
"5013",5013,"Kane & Lynch 2: Dog Days","PC",0.45,6.5,2010
"5291",5291,"Baldur's Gate II: Shadows of Amn","PC",0.42,9.5,2000
"5339",5339,"Hell Yeah! Wrath of the Dead Rabbit","PC",0.42,5.6,2004
"5367",5367,"Osmos","PC",0.41,7.8,2009
"5372",5372,"Jamestown: Legend of the Lost Colony","PC",0.41,8.3,2011
"5446",5446,"Shadow Tactics: Blades of the Shogun","PC",0.41,8.3,2016
"5737",5737,"The Vanishing of Ethan Carter","PC",0.38,8.7,2014
"5758",5758,"Cogs","PC",0.38,7.5,2009
"5763",5763,"Magic: The Gathering - Duels of the Planeswalkers 2012","PC",0.38,8,2011
"5782",5782,"Bionic Commando","X360",0.38,7.1,2009
"5837",5837,"Shovel Knight","NS",0.37,9,2019
"5838",5838,"Super Street Fighter IV: Arcade Edition","X360",0.37,8.6,2011
"5912",5912,"F1 2012","PC",0.36,8.8,2012
"6141",6141,"Risen 3: Titan Lords Enhanced Edition","PC",0.34,6.3,2014
"6163",6163,"Costume Quest","PC",0.34,8,2011
"6166",6166,"Revenge of the Titans","PC",0.34,8,2010
"6179",6179,"Solar 2","PC",0.34,8,2011
"6224",6224,"Hard Reset","PC",0.34,7.6,2012
"6384",6384,"And Yet It Moves","PC",0.32,8,2009
"6510",6510,"Atom Zombie Smasher","PC",0.32,7.2,2011
"6658",6658,"Her Story","PC",0.31,8.7,2015
"6731",6731,"Shovel Knight","WiiU",0.3,9,2014
"6746",6746,"Devil May Cry 4","PC",0.3,7.5,2008
"6804",6804,"Bejeweled 3","PC",0.3,8.1,2010
"6878",6878,"VA-11 HALL-A","PC",0.29,8.4,2016
"7083",7083,"Little Nightmares","PC",0.28,8.6,2017
"7273",7273,"Condemned: Criminal Origins","X360",0.27,8.2,2005
"7279",7279,"The Conduit","Wii",0.27,6.6,2009
"7336",7336,"BIT.TRIP BEAT","PC",0.27,7.5,2010
"7408",7408,"Dead Rising 2: Off the Record","PC",0.26,6.8,2011
"7477",7477,"Chromehounds","X360",0.26,6.4,2006
"7576",7576,"Shatter","PC",0.26,8.6,2010
"7692",7692,"Persona Q: Shadow of the Labyrinth","3DS",0.25,8.3,2014
"7773",7773,"Capsized","PC",0.25,7.9,2011
"7916",7916,"Hoard","PC",0.24,7.5,2011
"8245",8245,"NightSky","PC",0.22,7.8,2011
"8393",8393,"Night in the Woods","PC",0.22,8.8,2017
"8468",8468,"Phantasy Star 0","DS",0.21,7.5,2009
"8472",8472,"TowerFall Ascension","PC",0.21,9,2014
"8716",8716,"Hard West","PC",0.2,6.4,2006
"8797",8797,"Gothic","PC",0.2,8.1,2001
"8798",8798,"Gothic II","PC",0.2,8,2003
"8801",8801,"Phantasy Star Universe","PS2",0.2,6.4,2006
"8802",8802,"Rise of Nightmares","X360",0.2,5.5,2011
"9171",9171,"The Ball","PC",0.19,6.3,2011
"9190",9190,"Hydrophobia: Prophecy","PC",0.19,5.5,2011
"9312",9312,"Peggle Nights","PC",0.18,7.8,2008
"9466",9466,"Gish","PC",0.18,8.2,2004
"9510",9510,"Medieval II: Total War Kingdoms","PC",0.17,8.2,2007
"10092",10092,"Wings of Prey","PC",0.16,8.3,2010
"10326",10326,"Full Auto","X360",0.15,7,2006
"10361",10361,"Plain Sight","PC",0.15,7.2,2010
"10544",10544,"Colin McRae Rally","PC",0.14,9,2000
"11024",11024,"Men of War: Vietnam","PC",0.13,7.2,2011
"11040",11040,"Gemini Rue","PC",0.13,8,2011
"11153",11153,"The Misadventures of P.B. Winterbottom","PC",0.13,8.1,2010
"11546",11546,"Dead Island: Riptide","PC",0.12,6.2,2013
"12042",12042,"A.R.E.S. Extinction Agenda","PC",0.11,6.8,2010
"13341",13341,"Virtua Tennis: World Tour (US & Others sales)","PSP",0.08,8.3,2005
"16764",16764,"Submarine Titans","PC",0.03,6.1,2000
