"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"192",192,"Luigi's Mansion: Dark Moon","3DS",5.75,8.6,2013
"195",195,"Super Mario World: Super Mario Advance 2","GBA",5.69,9.4,2002
"198",198,"The Legend of Zelda: Ocarina of Time 3D","3DS",5.62,9.5,2011
"200",200,"Super Mario Advance","GBA",5.57,8.2,2001
"202",202,"Super Smash Bros.","N64",5.55,8.4,1999
"206",206,"Dragon Quest IX: Sentinels of the Starry Skies","DS",5.5,8.6,2010
"207",207,"Final Fantasy IX","PS",5.5,9.2,2000
"208",208,"Final Fantasy X-2","PS2",5.5,8.3,2003
"209",209,"Tomb Raider (2013)","PC",5.5,8.8,2013
"211",211,"Pokemon Stadium","N64",5.46,7.5,2000
"214",214,"Super Mario Advance 4: Super Mario Bros. 3","GBA",5.43,9.2,2003
"218",218,"Gran Turismo 5 Prologue","PS3",5.35,8.3,2008
"219",219,"Super Smash Bros. for Wii U","WiiU",5.35,9.2,2014
"222",222,"Pokemon Pinball","GBC",5.31,8.7,1999
"224",224,"Super Mario Party","NS",5.3,7.3,2018
"226",226,"Donkey Kong 64","N64",5.27,9.3,1999
"227",227,"Just Dance 2","Wii",5.25,7.3,2010
"231",231,"Fallout: New Vegas","PC",5.22,8.3,2010
"233",233,"Kingdom Hearts II","PS2",5.2,8.3,2006
"234",234,"God of War III","PS3",5.2,9.2,2010
"235",235,"Nintendo Land","WiiU",5.19,7.8,2012
"236",236,"Super Mario Land 3: Wario Land","GB",5.19,7.9,1994
"237",237,"Donkey Kong Country 2: Diddy's Kong Quest","SNES",5.15,9.3,1995
"249",249,"Super Mario Bros. Deluxe","GB",5.07,9.7,1999
"256",256,"Gears of War","X360",5,9.4,2006
"257",257,"Gears of War 2","X360",5,9.4,2008
"259",259,"Halo 5: Guardians","XOne",5,8.6,2015
"260",260,"Halo: Combat Evolved","XB",5,9.5,2001
"263",263,"Resident Evil 2","PS",4.96,9.3,1998
"265",265,"Splatoon","WiiU",4.94,8.4,2015
"267",267,"Stardew Valley","PC",4.91,9.2,2016
"268",268,"Dragon Quest VIII: Journey of the Cursed King","PS2",4.9,8.6,2005
"270",270,"Diddy Kong Racing","N64",4.88,8.3,1997
"271",271,"Pokemon Mystery Dungeon: Explorers of Time / Darkness","DS",4.88,6.4,2008
"279",279,"The Legend of Zelda: Phantom Hourglass","DS",4.76,9.1,2007
"283",283,"World of Warcraft: Cataclysm","PC",4.7,9,2010
"286",286,"Gran Turismo","PSP",4.67,7.7,2009
"289",289,"God of War","PS2",4.62,9.3,2005
"290",290,"The Legend of Zelda: A Link to the Past","SNES",4.61,10,1992
"295",295,"Mario & Luigi: Bowser's Inside Story","DS",4.56,9.1,2009
"302",302,"Dead Island","PC",4.52,7.1,2011
"306",306,"StarCraft II: Wings of Liberty","PC",4.5,9.3,2010
"307",307,"Warcraft III: Reign of Chaos","PC",4.5,9.3,2002
"309",309,"Professor Layton and the Curious Village","DS",4.49,8.7,2008
"312",312,"Nintendogs + cats","3DS",4.48,7.2,2011
"314",314,"The Legend of Zelda: The Wind Waker","GC",4.43,9.6,2003
"325",325,"Animal Crossing: City Folk","Wii",4.32,7.1,2008
"328",328,"Dragon Quest VII","PS",4.3,8,2001
"329",329,"Monster Hunter Generations","3DS",4.3,8.8,2016
"332",332,"God of War II","PS2",4.24,9.3,2007
"335",335,"Super Paper Mario","Wii",4.23,8.5,2007
"340",340,"Monster Hunter 4 Ultimate","3DS",4.2,8.8,2015
"346",346,"Just Cause 2","PC",4.16,8.2,2010
"355",355,"Super Mario World 2: Yoshi's Island","SNES",4.12,9,1995
"360",360,"Street Fighter II Turbo","SNES",4.1,9,1993
"370",370,"Diablo II","PC",4,8.8,2000
"372",372,"EyeToy Play","PS2",4,7.5,2003
"373",373,"Just Dance","Wii",4,5.4,2009
"374",374,"Star Fox 64","N64",4,9,1997
"375",375,"Super Mario Maker","WiiU",4,8.8,2015
"376",376,"World of Warcraft: Wrath of the Lich King","PC",4,9.3,2008
"387",387,"Half-Life 2: Episode One","PC",3.92,8.7,2006
"393",393,"Professor Layton and the Diabolical Box","DS",3.88,8.5,2009
"399",399,"Resident Evil VII: Biohazard","PS4",3.83,8.6,2017
"400",400,"Monster Hunter Freedom Unite","PSP",3.8,7.7,2009
"407",407,"Pokemon Trading Card Game","GB",3.72,8.3,2000
"410",410,"The Legend of Zelda: A Link Between Worlds","3DS",3.71,9.3,2013
"413",413,"The Legend of Zelda: Skyward Sword","Wii",3.67,9.4,2011
"417",417,"Banjo-Kazooie","N64",3.65,9.3,1998
"421",421,"Pokemon Snap","N64",3.63,7.9,1999
"451",451,"Donkey Kong Country 3: Dixie Kong's Double Trouble!","SNES",3.51,8.8,1996
"452",452,"Fable II","X360",3.5,9,2008
"454",454,"Resident Evil 3: Nemesis","PS",3.5,9.4,1999
"455",455,"World of Warcraft: The Burning Crusade","PC",3.5,9.2,2007
"457",457,"Pokemon Mystery Dungeon: Blue Rescue Team","DS",3.49,6.3,2006
"478",478,"Tekken: Dark Resurrection","PSP",3.37,8.7,2006
"481",481,"The Legend of Zelda: Majora's Mask","N64",3.36,9.3,2000
"483",483,"Yoshi's Island DS","DS",3.36,8.2,2006
"486",486,"Big Brain Academy: Wii Degree","Wii",3.34,7.1,2007
"488",488,"Luigi's Mansion","GC",3.33,7.9,2001
"491",491,"Animal Crossing: Happy Home Designer","3DS",3.32,6.6,2015
"500",500,"Half-Life 2: Episode Two","PC",3.28,9.1,2007
"505",505,"God of War: Chains of Olympus","PSP",3.26,8.9,2008
"508",508,"Flash Focus: Vision Training in Minutes a Day","DS",3.23,6.1,2007
"518",518,"Personal Trainer: Cooking","DS",3.18,8.4,2008
"523",523,"Sonic Heroes","PS2",3.16,6.6,2004
"530",530,"Star Wars Episode I Racer","N64",3.12,8.7,1999
"531",531,"Tekken 6","PS3",3.12,7.9,2009
"537",537,"Mario Party 9","Wii",3.11,6.5,2012
"551",551,"New Super Luigi U","WiiU",3.04,7.8,2013
"552",552,"Rhythm Heaven","DS",3.04,8.5,2009
"557",557,"Professor Layton and the Unwound Future","DS",3.02,8.4,2010
"561",561,"Crysis","PC",3,9.2,2007
"562",562,"Fable","XB",3,8.6,2004
"563",563,"Gears of War 3","X360",3,9.1,2011
"564",564,"Kinect Sports","X360",3,7.4,2010
"565",565,"Sonic and the Secret Rings","Wii",3,6.7,2007
"566",566,"Sonic Rush","DS",3,7.8,2005
"567",567,"The Legend of Zelda: Majora's Mask 3D","3DS",3,9,2015
"568",568,"Warcraft II: Tides of Darkness","PC",3,9.3,1996
"570",570,"Kirby Super Star Ultra","DS",2.99,7.3,2008
"576",576,"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2.98,7.8,2010
"577",577,"Style Savvy","DS",2.98,7.6,2009
"578",578,"Super Meat Boy","PC",2.97,9.2,2010
"580",580,"The Legend of Zelda: Spirit Tracks","DS",2.96,8.7,2009
"587",587,"Wave Race 64","N64",2.94,9.2,1996
"589",589,"Pokemon Ranger","DS",2.93,6.6,2006
"590",590,"Super Mario Maker","3DS",2.93,7.3,2016
"596",596,"Final Fantasy III","SNES",2.9,9.1,1994
"608",608,"1-2-Switch","NS",2.86,5.7,2017
